arXiv:1805.06714, Title: High-dimensional doubly robust tests for regression parameters
arXiv:1805.06730, Title: Birnbaum-Saunders Distribution: A Review of Models, Analysis and  Applications
arXiv:1805.06753, Title: Interpolatron: Interpolation or Extrapolation Schemes to Accelerate  Optimization for Deep Neural Networks
arXiv:1805.06811, Title: Fast, asymptotically efficient, recursive estimation in a Riemannian  manifold
arXiv:1805.06826, Title: The Blessings of Multiple Causes
arXiv:1805.06833, Title: An extension of the Plancherel measure
arXiv:1805.06837, Title: A fast algorithm with minimax optimal guarantees for topic models with  an unknown number of topics
arXiv:1805.06839, Title: Methods for the inclusion of real world evidence in network  meta-analysis
arXiv:1805.06915, Title: A Note on Coding and Standardization of Categorical Variables in  (Sparse) Group Lasso Regression
arXiv:1805.06923, Title: Functional Mediation Analysis with an Application to Functional Magnetic  Resonance Imaging Data
arXiv:1805.06930, Title: A Data-Driven Supply-Side Approach for Measuring Cross-Border Internet  Purchases
arXiv:1805.06964, Title: Minimax regularization
arXiv:1805.06970, Title: Global and Simultaneous Hypothesis Testing for High-Dimensional Logistic  Regression Models
arXiv:1805.07006, Title: Spectral feature scaling method for supervised dimensionality reduction
arXiv:1805.07042, Title: Graphon estimation via nearest neighbor algorithm and 2D fused lasso  denoising
arXiv:1805.07051, Title: Bayesian Joint Spike-and-Slab Graphical Lasso
arXiv:1805.07072, Title: Optimizing for Generalization in Machine Learning with Cross-Validation  Gradients
arXiv:1805.07086, Title: Relationship between the Bregman divergence and beta-divergence and  their Applications
arXiv:1805.07088, Title: Strongly Consistent of Kullback-Leibler Divergence Estimator and Tests  for Model Selection Based on a Bias Reduced Kernel Density Estimator
arXiv:1805.07092, Title: Bayesian model reduction
arXiv:1805.07109, Title: On the Bayesian Solution of Differential Equations
arXiv:1805.07113, Title: Change Point Methods on a Sequence of Graphs
arXiv:1805.07137, Title: Knowledge Discovery from Layered Neural Networks based on Non-negative  Task Decomposition
arXiv:1805.07147, Title: A Bayesian Parametric Approach to Handle Missing Longitudinal Outcome  Data in Trial-Based Health Economic Evaluations
arXiv:1805.07149, Title: Pitfalls of adjusting for mean baseline utilities/costs in trial-based  cost-effectiveness analysis with missing data
arXiv:1805.07174, Title: On a Metropolis-Hastings importance sampling estimator
arXiv:1805.07179, Title: Markov Chain Importance Sampling - a highly efficient estimator for MCMC
arXiv:1805.07206, Title: Approximate Bayesian inference in spatial environments
arXiv:1805.07226, Title: Sequential Neural Likelihood: Fast Likelihood-free Inference with  Autoregressive Flows
arXiv:1805.07238, Title: The Two-Sample Problem Via Relative Belief Ratio
arXiv:1805.07242, Title: Siamese Capsule Networks
arXiv:1805.07267, Title: Model reparametrization for improving variational inference
